Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Gizemli Et,1,Scoin,WeaponPromote,None,None,None,
Yılan Balığı Eti,1,Scoin,WeaponPromote,None,None,None,
Soğan,1,AvatarExp,SkillBook,None,None,None,
Kristal Özütü,1,WeaponExp,AvatarPromote,None,None,None,
Kum Yağı Pupası,1,Scoin,WeaponPromote,None,None,None,
Yas Çiçeği,1,AvatarExp,SkillBook,None,None,None,
Kan Kızılı Taşı,1,WeaponExp,AvatarPromote,None,None,None,
Yağmur Nilüferi,1,AvatarExp,SkillBook,None,None,None,
Bulle Meyvesi,1,AvatarExp,SkillBook,None,None,None,
Marcotte,1,AvatarExp,SkillBook,None,None,None,
Beril Kabuk,1,Scoin,WeaponPromote,None,None,None,
Romaritime Çiçeği,1,AvatarExp,SkillBook,None,None,None,
Tidalga,1,AvatarExp,SkillBook,None,None,None,
Lumidouce Çanı,1,AvatarExp,SkillBook,None,None,None,
Gökkuşağı Gülü,1,AvatarExp,SkillBook,None,None,None,
Tan Yıldızı,1,AvatarExp,SkillBook,None,None,None,
Gölmavisi Zambağı,1,AvatarExp,SkillBook,None,None,None,
Derin Tespit Ünitesi,1,Scoin,WeaponPromote,None,None,None,
İlk Çiy Damlasının Kaynağı,1,Scoin,WeaponPromote,None,None,None,
Bodurlop Özü,1,Scoin,WeaponPromote,None,None,None,
Bodurlop Salgıları,2,Scoin,WeaponPromote,None,None,None,
Yoğun Bodurlop Özü,4,Scoin,WeaponPromote,None,None,None,
Kırık Maske,1,Scoin,WeaponPromote,None,None,None,
Lekeli Maske,2,Scoin,WeaponPromote,None,None,None,
Uğursuz Maske,4,Scoin,WeaponPromote,None,None,None,
Kehanet Parşömeni,1,AvatarExp,SkillBook,None,None,None,
Mühürlü Parşömen,2,AvatarExp,SkillBook,None,None,None,
Lanetli Parşömen,4,AvatarExp,SkillBook,None,None,None,
Sağlam Ok Başı,1,WeaponExp,AvatarPromote,None,None,None,
Sivri Ok Başı,2,WeaponExp,AvatarPromote,None,None,None,
Eski Ok Başı,4,WeaponExp,AvatarPromote,None,None,None,
Ağır Boynuz,1,Scoin,WeaponPromote,None,None,None,
Siyah Bronz Boynuz,2,Scoin,WeaponPromote,None,None,None,
Siyah Kristal Boynuz,4,Scoin,WeaponPromote,None,None,None,
Kuru Ley Hattı Dalı,1,AvatarExp,SkillBook,None,None,None,
Kuru Ley Hattı Yaprakları,2,AvatarExp,SkillBook,None,None,None,
Ley Hattı Filizi,4,AvatarExp,SkillBook,None,None,None,
Kaos Cihazı,1,Scoin,WeaponPromote,None,None,None,
Kaos Devresi,2,Scoin,WeaponPromote,None,None,None,
Kaos Çekirdeği,4,Scoin,WeaponPromote,None,None,None,
Sis Otu Poleni,1,AvatarExp,SkillBook,None,None,None,
Sis Otu,2,AvatarExp,SkillBook,None,None,None,
Sis Otu Fitili,4,AvatarExp,SkillBook,None,None,None,
Avcının Kurban Bıçağı,1,WeaponExp,AvatarPromote,None,None,None,
Tefecinin Kurban Bıçağı,2,WeaponExp,AvatarPromote,None,None,None,
Müfettişin Kurban Bıçağı,4,WeaponExp,AvatarPromote,None,None,None,
Acemi Asker Nişanı,1,Scoin,WeaponPromote,None,None,None,
Çavuş Nişanı,2,Scoin,WeaponPromote,None,None,None,
Subay Nişanı,4,Scoin,WeaponPromote,None,None,None,
Hazine Avcısı Nişanı,1,Scoin,WeaponPromote,None,None,None,
Gümüş Kuzgun Nişanı,2,Scoin,WeaponPromote,None,None,None,
Altın Kuzgun Nişanı,4,Scoin,WeaponPromote,None,None,None,
Yalancı Çiçek Nektarı,1,AvatarExp,SkillBook,None,None,None,
Parıltılı Nektar,2,AvatarExp,SkillBook,None,None,None,
Enerji Nektarı,4,AvatarExp,SkillBook,None,None,None,
Kırılgan Kemik Parçası,1,Scoin,WeaponPromote,None,None,None,
Sağlam Kemik Parçası,2,Scoin,WeaponPromote,None,None,None,
Fosil Kemik Parçası,4,Scoin,WeaponPromote,None,None,None,
Eski Balçak,1,Scoin,WeaponPromote,None,None,None,
Kageuchi Balçağı,2,Scoin,WeaponPromote,None,None,None,
Gösterişli Balçak,4,Scoin,WeaponPromote,None,None,None,
Kaos Dişlisi,1,Scoin,WeaponPromote,None,None,None,
Kaos Aksı,2,Scoin,WeaponPromote,None,None,None,
Kaos Gözü,4,Scoin,WeaponPromote,None,None,None,
Karanlık Prizma,1,Scoin,WeaponPromote,None,None,None,
Kristal Prizma,2,Scoin,WeaponPromote,None,None,None,
Polarize Prizma,4,Scoin,WeaponPromote,None,None,None,
Uçarlop Kabuğu,1,Scoin,WeaponPromote,None,None,None,
Uçarlop Kalbi,2,Scoin,WeaponPromote,None,None,None,
Uçarlop Cevheri,4,Scoin,WeaponPromote,None,None,None,
Gizli Pençe,1,Scoin,WeaponPromote,None,None,None,
Gizli Keskin Pençe,2,Scoin,WeaponPromote,None,None,None,
Gizli Vahşi Pençe,4,Scoin,WeaponPromote,None,None,None,
Mantar Sporları,1,AvatarExp,SkillBook,None,None,None,
Parlak Polen,2,AvatarExp,SkillBook,None,None,None,
Kristal Toz Kutusu,4,AvatarExp,SkillBook,None,None,None,
Etkisizleştirilmiş Mantar Özü,1,AvatarExp,SkillBook,None,None,None,
Pasif Mantar Özü,2,AvatarExp,SkillBook,None,None,None,
Dinç Mantar Özü,4,AvatarExp,SkillBook,None,None,None,
Soluk Kırmızı Saten,1,Scoin,WeaponPromote,None,None,None,
İşlemeli Kırmızı İpek,2,Scoin,WeaponPromote,None,None,None,
Koyu Kırmızı Sırmalı Kumaş,4,Scoin,WeaponPromote,None,None,None,
Kaos Deposu,1,Scoin,WeaponPromote,None,None,None,
Kaos Modülü,2,Scoin,WeaponPromote,None,None,None,
Kaos Cıvatası,4,Scoin,WeaponPromote,None,None,None,
Hasarlı Prizma,1,Scoin,WeaponPromote,None,None,None,
Bulanık Prizma,2,Scoin,WeaponPromote,None,None,None,
Parlak Prizma,4,Scoin,WeaponPromote,None,None,None,
Kasvetli Heykelcik,1,Scoin,WeaponPromote,None,None,None,
Kara Heykelcik,2,Scoin,WeaponPromote,None,None,None,
Ölümcül Heykelcik,4,Scoin,WeaponPromote,None,None,None,
Kuru Kabuk,1,Scoin,WeaponPromote,None,None,None,
Sağlam Kabuk,2,Scoin,WeaponPromote,None,None,None,
İşaretli Kabuk,4,Scoin,WeaponPromote,None,None,None,
Henüz Açmamış Çiçek,1,AvatarExp,SkillBook,None,None,None,
Değerli Çiçek,2,AvatarExp,SkillBook,None,None,None,
Göçebenin Çiçeği,4,AvatarExp,SkillBook,None,None,None,
Okyanus Ötesi İncisi,1,WeaponExp,AvatarPromote,None,None,None,
Okyanus Ötesi Parça,2,WeaponExp,AvatarPromote,None,None,None,
Alaca Kristal,4,WeaponExp,AvatarPromote,None,None,None,
Kavrama Dişlisi,1,Scoin,WeaponPromote,None,None,None,
Mekanik Düz Dişli,2,Scoin,WeaponPromote,None,None,None,
Usta İşi Dinamik Dişli,4,Scoin,WeaponPromote,None,None,None,
Kirli Su Damlası,1,Scoin,WeaponPromote,None,None,None,
Kirli Su Birikintisi,2,Scoin,WeaponPromote,None,None,None,
Yenidoğan Lekeli Su Tayfı,4,Scoin,WeaponPromote,None,None,None,
Yarık Çekirdeği,1,Scoin,WeaponPromote,None,None,None,
Yabancı Sinaps,2,Scoin,WeaponPromote,None,None,None,
Dünya Dışı Yaşam Çekirdeği,4,Scoin,WeaponPromote,None,None,None,
Kıdemli Ajanın Cep Saati,1,Scoin,WeaponPromote,None,None,None,
Ajanın Klasik Cep Saati,2,Scoin,WeaponPromote,None,None,None,
Ajanın Vefası,4,Scoin,WeaponPromote,None,None,None,
